id,names,categories,altCategories,websites,socials,phones,brand,street,city,postcode,state,country
08f2643a34202b8503862181e83b8c1c,1998 Boutique,women's_clothing_store,,"[""https://www.shop1998boutique.com""]","[""https://www.facebook.com/111405534880769""]","[""+15738379283""]",,109 N Main St,Cape Girardeau,63701-7308,MO,US
08f264066040d72303c5c696645bea90,The Jade Leopard Boutique,women's_clothing_store,,"[""http://thejadeleopardboutique.com/""]","[""https://www.facebook.com/423160941120788""]","[""+16188262600""]",,1218 Swanwick St,Chester,62233-1666,IL,US
08f26414e31b0b9003eaa6e7e8ce257b,doll baby boutique,children's_clothing_store,,"[""http://dollbabyboutique.com/""]","[""https://www.facebook.com/550770195290121""]","[""+16185340836""]",,113 Lafayette St,Anna,62906-1543,IL,US
08f26411b6cd29150341392db6aa7dc7,"Whimsy, A Children's Clothing Store",children's_clothing_store,,"[""http://www.whimsychildrensclothing.com""]","[""https://www.facebook.com/391439584377541""]","[""+16189260219""]",,1400 W Main St,Marion,62959-1142,IL,US
08f2641ceba50b5003660568892e2c27,Factory Connection,clothing_store,,"[""http://www.factory-connection.com""]","[""https://www.facebook.com/178321503046681""]","[""+16186942417""]","{""names"":{""common"":[{""value"":""Factory Connection"",""language"":""local""}],""official"":null,""alternate"":null,""short"":null},""wikidata"":null}",1301 Enterprise Way,Marion,62959-4423,IL,US
08f26e53668da80303e6791e03129d28,The Pink Suitcase,women's_clothing_store,,"[""http://www.shoppinksuitcase.com""]","[""https://www.facebook.com/132490740138863""]","[""+17852421884""]",,312 S Main St,Ottawa,66067-2332,KS,US
08f2652bb31025a60316d5854b80be09,The Piper Company,clothing_store,,"[""http://www.kbsells.com/agents/yunger""]","[""https://www.facebook.com/323898100155""]","[""+16604244318""]",,222 N Main St,South West City,64863-9460,MO,US
08f26566cbc48884032e5f40a5bf3042,Trendz,women's_clothing_store,,"[""http://thecornerhousefurnitureandboutique.com""]","[""https://www.facebook.com/83074919621""]","[""+19134848893""]",,,Overland Park,,KS,US
08f26529a105b4a603ce5e63ac81c9b9,This Little Heart of Mine Boutique,children's_clothing_store,,"[""https://thislittleheartofmine.co""]","[""https://www.facebook.com/102823621415779""]","[""+18166946942""]",,213 N Main St,Peculiar,64078-2522,MO,US
08f26529059368c003f7cfe407f2bc66,The Girls Boutique,women's_clothing_store,,"[""http://thegirlsboutique.com/""]","[""https://www.facebook.com/1561043820791835""]","[""+18167380851""]",,101 W Wall St,Harrisonville,64701-2355,MO,US
08f26e5bad9ab14b0394d30389fa3cfc,Nomads,women's_clothing_store,,"[""http://www.shopnomadsonline.com/""]","[""https://www.facebook.com/1279611642059826""]","[""+17858560240""]",,725 Lawrence Ave,Lawrence,66049-4522,KS,US
